Src IP,Timestamp,Mean_Packet_Size,Packet_Size_Variance,Mean_IAT,Port_Diversity,IP_Entropy,Label,Mean_RSSI,RSSI_Variance,JA3_Diversity
Node C,2025-11-12 00:13:23.974254,0,0,0,0,0,0,-33.34,0.22440000000000002,0
Node C,2025-11-12 00:18:23.974254,0,0,0,0,0,0,-33.58,1.3636,0
Node C,2025-11-12 00:23:23.974254,0,0,0,0,0,0,-37.34,0.2644,0
Node C,2025-11-12 00:28:23.974254,0,0,0,0,0,0,-37.08,0.2336,0
Node C,2025-11-12 00:33:23.974254,0,0,0,0,0,0,-38.22,1.6516,0
Node C,2025-11-12 00:38:23.974254,0,0,0,0,0,0,-38.0,0.0,0
Node C,2025-11-12 00:43:23.974254,0,0,0,0,0,0,-38.98,0.6596,0
Node C,2025-11-12 00:48:23.974254,0,0,0,0,0,0,-38.16,0.17440000000000005,0
Node C,2025-11-12 00:53:23.974254,0,0,0,0,0,0,-37.74,0.6324,0
Node C,2025-11-12 00:58:23.974254,0,0,0,0,0,0,-37.02,0.1796000000000001,0
Node C,2025-11-12 01:03:23.974254,0,0,0,0,0,0,-44.34,37.1044,0
Node C,2025-11-12 01:08:23.974254,0,0,0,0,0,0,-49.76,1.3824,0
Node C,2025-11-12 01:13:23.974254,0,0,0,0,0,0,-48.66,3.1843999999999992,0
Node C,2025-11-12 01:18:23.974254,0,0,0,0,0,0,-46.88,1.5855999999999995,0
Node C,2025-11-12 01:23:23.974254,0,0,0,0,0,0,-46.18,2.1075999999999997,0
Node C,2025-11-12 01:28:23.974254,0,0,0,0,0,0,-45.5,2.33,0
Node C,2025-11-12 01:33:23.974254,0,0,0,0,0,0,-46.3,5.209999999999999,0
Node C,2025-11-12 01:38:23.974254,0,0,0,0,0,0,-52.84,1.3344,0
Node C,2025-11-12 01:43:23.974254,0,0,0,0,0,0,-53.5,0.93,0
Node C,2025-11-12 01:48:23.974254,0,0,0,0,0,0,-48.7,3.13,0
Node C,2025-11-12 01:53:23.974254,0,0,0,0,0,0,-49.08,2.1935999999999996,0
Node C,2025-11-12 01:58:23.974254,0,0,0,0,0,0,-56.62,14.475600000000002,0
Node C,2025-11-12 02:03:23.974254,0,0,0,0,0,0,-58.82,2.4275999999999995,0
Node C,2025-11-12 02:08:23.974254,0,0,0,0,0,0,-61.16,3.3743999999999996,0
Node C,2025-11-12 02:13:23.974254,0,0,0,0,0,0,-61.72,2.0016000000000003,0
Node C,2025-11-12 02:18:23.974254,0,0,0,0,0,0,-59.28,6.8016,0
Node C,2025-11-12 02:23:23.974254,0,0,0,0,0,0,-57.08,0.7935999999999999,0
Node C,2025-11-12 02:28:23.974254,0,0,0,0,0,0,-56.4,3.48,0
Node C,2025-11-12 02:33:23.974254,0,0,0,0,0,0,-54.4,2.4,0
Node C,2025-11-12 02:38:23.974254,0,0,0,0,0,0,-52.78,22.7316,0
Node C,2025-11-12 02:43:23.974254,0,0,0,0,0,0,-53.44,17.846400000000003,0
Node C,2025-11-12 02:48:23.974254,0,0,0,0,0,0,-53.36,11.910400000000003,0
Node C,2025-11-12 02:53:23.974254,0,0,0,0,0,0,-48.0,0.0,0
Node C,2025-11-12 02:58:23.974254,0,0,0,0,0,0,-48.14,1.2804,0
Node C,2025-11-12 03:03:23.974254,0,0,0,0,0,0,-55.36,0.2704,0
Node C,2025-11-12 03:08:23.974254,0,0,0,0,0,0,-55.8,0.16,0
Node C,2025-11-12 03:13:23.974254,0,0,0,0,0,0,-63.6,12.04,0
Node C,2025-11-12 03:18:23.974254,0,0,0,0,0,0,-65.04,0.0384,0
Node C,2025-11-12 03:23:23.974254,0,0,0,0,0,0,-61.6,3.840000000000001,0
Node C,2025-11-12 03:28:23.974254,0,0,0,0,0,0,-60.68,0.2176,0
Node C,2025-11-12 03:33:23.974254,0,0,0,0,0,0,-54.7,20.73,0
Node C,2025-11-12 03:38:23.974254,0,0,0,0,0,0,-49.3,6.209999999999999,0
Node C,2025-11-12 03:43:23.974254,0,0,0,0,0,0,-62.14,73.8804,0
Node C,2025-11-12 03:48:23.974254,0,0,0,0,0,0,-67.44,0.7264,0
Node C,2025-11-12 03:53:23.974254,0,0,0,0,0,0,-59.2,50.52,0
Node C,2025-11-12 03:58:23.974254,0,0,0,0,0,0,-55.08,0.1536,0
Node C,2025-11-12 04:03:23.974254,0,0,0,0,0,0,-52.82,9.1076,0
Node C,2025-11-12 04:08:23.974254,0,0,0,0,0,0,-51.12,6.105599999999998,0
Node C,2025-11-12 04:13:23.974254,0,0,0,0,0,0,-62.06,179.65639999999996,0
Node C,2025-11-12 04:18:23.974254,0,0,0,0,0,0,-70.86,106.68039999999999,0
Node C,2025-11-12 04:23:23.974254,0,0,0,0,0,0,-76.74,77.91239999999999,0
Node C,2025-11-12 04:28:23.974254,0,0,0,0,0,0,-78.78,59.6516,0
Node C,2025-11-12 04:33:23.974254,0,0,0,0,0,0,-72.54,99.6884,0
Node C,2025-11-12 04:38:23.974254,0,0,0,0,0,0,-71.68,75.3376,0
Node C,2025-11-12 04:43:23.974254,0,0,0,0,0,0,-73.66,49.984399999999994,0
Node C,2025-11-12 04:48:23.974254,0,0,0,0,0,0,-75.78,45.7316,0
Node C,2025-11-12 04:53:23.974254,0,0,0,0,0,0,-78.62,47.1156,0
Node C,2025-11-12 04:58:23.974254,0,0,0,0,0,0,-83.22,64.5716,0
Node C,2025-11-12 05:03:23.974254,0,0,0,0,0,0,-73.92,74.39360000000002,0
